REPORTING_PERIOD_START,PRIMARY_LEVEL_DESCRIPTION,MEASURE_NAME,MEASURE_VALUE
01/10/2021,SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST,Bed days in RP,10355
01/10/2021,GATESHEAD HEALTH NHS FOUNDATION TRUST,Bed days in RP,*
01/10/2021,LEEDS TEACHING HOSPITALS NHS TRUST,Bed days in RP,*
01/10/2021,MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST,Bed days in RP,8160
01/10/2021,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",Bed days in RP,*
01/10/2021,"BARNET, ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST",Bed days in RP,15800
01/10/2021,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,Bed days in RP,5780
01/10/2021,PENNINE CARE NHS FOUNDATION TRUST,Bed days in RP,13980
01/10/2021,LEICESTERSHIRE PARTNERSHIP NHS TRUST,Bed days in RP,9305
01/10/2021,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,Bed days in RP,125
01/10/2021,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,Bed days in RP,*
01/10/2021,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,Bed days in RP,4875
01/10/2021,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,Bed days in RP,18775
01/10/2021,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,Bed days in RP,20140
01/10/2021,HUMBER TEACHING NHS FOUNDATION TRUST,Bed days in RP,4970
01/10/2021,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,Bed days in RP,13775
01/10/2021,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,Bed days in RP,*
01/10/2021,SOUTHERN HEALTH NHS FOUNDATION TRUST,Bed days in RP,12410
01/10/2021,MERSEY CARE NHS FOUNDATION TRUST,Bed days in RP,25515
01/10/2021,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST,Bed days in RP,14220
01/10/2021,EAST LONDON NHS FOUNDATION TRUST,Bed days in RP,25300
01/10/2021,HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,Bed days in RP,11580
01/10/2021,DEVON PARTNERSHIP NHS TRUST,Bed days in RP,8235
01/10/2021,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,Bed days in RP,4215
01/10/2021,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,Bed days in RP,*
01/10/2021,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,Bed days in RP,17620
01/10/2021,"TEES, ESK AND WEAR VALLEYS NHS FOUNDATION TRUST",Bed days in RP,20040
01/10/2021,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",Bed days in RP,20455
01/10/2021,CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,Bed days in RP,*
01/10/2021,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,Bed days in RP,5980
01/10/2021,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,Bed days in RP,12375
01/10/2021,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,Bed days in RP,*
01/10/2021,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,Bed days in RP,6660
01/10/2021,EAST LANCASHIRE HOSPITALS NHS TRUST,Bed days in RP,*
01/10/2021,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,Bed days in RP,20295
01/10/2021,GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST,Bed days in RP,27125
01/10/2021,SURREY AND BORDERS PARTNERSHIP NHS FOUNDATION TRUST,Bed days in RP,5765
01/10/2021,KENT AND MEDWAY NHS AND SOCIAL CARE PARTNERSHIP TRUST,Bed days in RP,12310
01/10/2021,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,Bed days in RP,*
01/10/2021,NORFOLK COMMUNITY HEALTH AND CARE NHS TRUST,Bed days in RP,*
01/10/2021,HERTFORDSHIRE COMMUNITY NHS TRUST,Bed days in RP,*
01/10/2021,LEEDS COMMUNITY HEALTHCARE NHS TRUST,Bed days in RP,*
01/10/2021,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,Bed days in RP,720
01/10/2021,HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST,Bed days in RP,*
01/10/2021,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,Bed days in RP,8185
01/10/2021,CAMBRIDGESHIRE COMMUNITY SERVICES NHS TRUST,Bed days in RP,*
01/10/2021,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,Bed days in RP,*
01/10/2021,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,Bed days in RP,*
01/10/2021,WEST SUSSEX MHSTS,Bed days in RP,*
01/10/2021,SELF HELP SERVICES (STOCKPORT),Bed days in RP,*
01/10/2021,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,Bed days in RP,5270
01/10/2021,CAMDEN AND ISLINGTON NHS FOUNDATION TRUST,Bed days in RP,6655
01/10/2021,SHEFFIELD HEALTH & SOCIAL CARE NHS FOUNDATION TRUST,Bed days in RP,3955
01/10/2021,BLACK COUNTRY HEALTHCARE NHS FOUNDATION TRUST,Bed days in RP,9050
01/10/2021,BARNARDO'S MHST NORTH,Bed days in RP,*
01/10/2021,CATCH22 (MUSIC TO MY EARS - SURREY),Bed days in RP,*
